molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,standard_value_norm,pIC50_values
CHEMBL221371,COc1cc(O)c2c(=O)c3c(oc2c1)C(OC)Oc1c(O)cccc1-3,700,active,342.303,2.9172,2,7,700,6.15490196
CHEMBL243168,COc1ccc(CCNC(=O)c2cccc3c(=O)c4ccc(OC)cc4[nH]c23)cc1,560,active,402.45,3.671,2,4,560,6.251811973
CHEMBL243167,COc1ccc(CCNC(=O)c2cccc3c(=O)c4ccccc4[nH]c23)cc1OC,450,active,402.45,3.671,2,4,450,6.346787486
CHEMBL397235,COc1ccc(CCNC(=O)c2cccc3c(=O)c4ccccc4[nH]c23)cc1,350,active,372.424,3.6624,2,3,350,6.455931956
CHEMBL242513,COc1cc(C(F)(F)F)cc2[nH]c3ccccc3c(=O)c12,770,active,293.244,3.7087,1,2,770,6.113509275
CHEMBL242512,COc1ccc2[nH]c3ccccc3c(=O)c2c1OC,20000,inactive,255.273,2.6985,1,3,20000,4.698970004
CHEMBL396298,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cccc4c(=O)c5cccc(OC)c5[nH]c34)cc1)CC2,410,active,563.654,5.5602,2,6,410,6.387216143
CHEMBL442464,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccccc3[N+](=O)[O-])cc1)CC2,109647.82,inactive,461.518,4.4651,1,6,109647.82,3.959999998
CHEMBL409234,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccc4ncccc4c3)cc1)CC2,14454.4,inactive,467.569,5.1051,1,5,14454.4,4.839999931
CHEMBL409480,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cccnc3)cc1)CC2,44668.36,inactive,417.509,3.9519,1,5,44668.36,4.349999992
CHEMBL259976,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cccc4ccccc34)cc1)CC2,12882.5,inactive,466.581,5.7101,1,4,12882.5,4.889999849
CHEMBL471170,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccccc3)cc1)CC2,24547.09,inactive,416.521,4.5569,1,4,24547.09,4.609999985
CHEMBL261857,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccc(Br)cc3)cc1)CC2,11481.54,inactive,495.417,5.3194,1,4,11481.54,4.939999857
CHEMBL259789,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cccc(Br)c3)cc1)CC2,22908.68,inactive,495.417,5.3194,1,4,22908.68,4.639999934
